Title,Link,Competencies
Microsoft Dynamics Development (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-dynamics-development-new/,['Knowledge Of Subject']
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,['Knowledge Of Subject']
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,['Knowledge Of Subject']
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,['Knowledge Of Subject']
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,['Knowledge Of Subject']
Mongodb (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,['Knowledge Of Subject']
Motivation Questionnaire Mqm5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,['Problem Solving']
Mq Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,['Problem Solving']
Mq Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,['Problem Solving']
Mq Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/,['Problem Solving']
Mq Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/,['Problem Solving']
Ms Access (New),https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/,['Knowledge Of Subject']
Ms Excel (New),https://www.shl.com/solutions/products/product-catalog/view/ms-excel-new/,['Knowledge Of Subject']
Ms Office Basic Computer Literacy (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,['Knowledge Of Subject']
Ms Office Basic Computer Literacy (Sim) (New),https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,['Sales Skills']
Ms Powerpoint (New),https://www.shl.com/solutions/products/product-catalog/view/ms-powerpoint-new/,['Knowledge Of Subject']
Ms Word (New),https://www.shl.com/solutions/products/product-catalog/view/ms-word-new/,['Knowledge Of Subject']
Mulesoft Development (New),https://www.shl.com/solutions/products/product-catalog/view/mulesoft-development-new/,['Knowledge Of Subject']
Multitasking Ability,https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/,"['Attention To Detail', 'Knowledge Of Subject', 'Sales Skills']"
Networking And Implementation (New),https://www.shl.com/solutions/products/product-catalog/view/networking-and-implementation-new/,['Knowledge Of Subject']
Node.Js (New),https://www.shl.com/solutions/products/product-catalog/view/node-js-new/,['Knowledge Of Subject']
Nursing (New),https://www.shl.com/solutions/products/product-catalog/view/nursing-new/,['Knowledge Of Subject']
Opq Profile Report,https://www.shl.com/solutions/products/product-catalog/view/opq-profile-report/,['Problem Solving']
Opq Team Impact Group Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-group-development-report/,['Problem Solving']
Opq Team Impact Individual Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/,['Problem Solving']
Opq Team Impact Selection Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-selection-report/,['Problem Solving']
Opq Team Types And Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,['Problem Solving']
Opq Ucf Development Action Planner Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/,['Problem Solving']
Opq Ucf Development Action Planner Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,['Problem Solving']
Opq Universal Competency Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report/,['Problem Solving']
Opq Universal Competency Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/,['Problem Solving']
Opq User And Managers Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-and-managers-report/,['Problem Solving']
Opq User Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-report/,"['Problem Solving', 'Sales Skills']"
Oracle Dba (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/,['Knowledge Of Subject']
Oracle Dba (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new/,['Knowledge Of Subject']
Oracle Pl/Sql (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new/,['Knowledge Of Subject']
Oracle Weblogic Server (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new/,['Knowledge Of Subject']
Organic Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new/,['Knowledge Of Subject']
Paint Technology (New),https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new/,['Knowledge Of Subject']
Pediatrics (New),https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new/,['Knowledge Of Subject']
Pega Development (New),https://www.shl.com/solutions/products/product-catalog/view/pega-development-new/,['Knowledge Of Subject']
